,date,daily_return
0,2020-07-01,0.0
1,2020-07-02,0.004818524136210211
2,2020-07-06,0.016452139463995347
3,2020-07-07,-0.015480163628839208
4,2020-07-08,0.006485370185768926
5,2020-07-09,-0.015948341053204473
6,2020-07-10,0.014699439863411722
7,2020-07-13,-0.0026295301787472255
8,2020-07-14,0.019285773916000882
9,2020-07-15,0.00893927397287824
10,2020-07-16,-0.003243291823576306
11,2020-07-17,-0.0016472824359396964
12,2020-07-20,-0.0010744515135240305
13,2020-07-21,0.007315899521018838
14,2020-07-22,0.005909185864990319
15,2020-07-23,-0.011323888337185041
16,2020-07-24,-0.008211729121274124
17,2020-07-27,0.002997016676214628
18,2020-07-28,-0.0079308927470902
19,2020-07-29,0.00526601523414755
20,2020-07-30,-0.0096258987283846
21,2020-07-31,0.0002683500623416992
22,2020-08-03,0.009576490086801675
23,2020-08-04,0.001820228371769143
24,2020-08-05,0.013989676183563374
25,2020-08-06,0.0036080193071851307
26,2020-08-07,0.004656308546618867
27,2020-08-10,0.013977505237120283
28,2020-08-11,-0.0031192333592901804
29,2020-08-12,0.0078055779559566725
30,2020-08-13,-0.0039652957205341234
31,2020-08-14,0.001529853081513803
32,2020-08-17,-0.004825911833330489
33,2020-08-18,-0.0014935687551998905
34,2020-08-19,-0.0038425622328256154
35,2020-08-20,0.00023572290225706594
36,2020-08-21,0.002081966042892835
37,2020-08-24,0.014119172970657226
38,2020-08-25,0.001897524260017711
39,2020-08-26,0.0072432573406852364
40,2020-08-27,0.009167783823145221
41,2020-08-28,0.004545538017176808
42,2020-08-31,-0.007131828086912311
43,2020-09-01,0.005467601302030988
44,2020-09-02,0.017520651881411976
45,2020-09-03,-0.026218371328595644
46,2020-09-04,-0.002230192487742107
47,2020-09-08,-0.022475389389367433
48,2020-09-09,0.013671473465789912
49,2020-09-10,-0.014608853777355503
50,2020-09-11,0.007846648134880134
51,2020-09-14,0.010538017004494136
52,2020-09-15,-0.001988609039674556
53,2020-09-16,0.0035048384489785216
54,2020-09-17,-0.003138979342232357
55,2020-09-18,-0.010268655567915575
56,2020-09-21,-0.01888470725383771
57,2020-09-22,0.006415096396498467
58,2020-09-23,-0.014320098284775606
59,2020-09-24,0.0009728902461052368
60,2020-09-25,0.011478400669968147
61,2020-09-28,0.015283219532922452
62,2020-09-29,-0.006762654862070153
63,2020-09-30,0.00990489396372949
64,2020-10-01,-0.00016302373626825393
65,2020-10-02,-0.0036906356741589234
66,2020-10-05,0.016670560752642498
67,2020-10-06,-0.012857092312729216
68,2020-10-07,0.018604016501836407
69,2020-10-08,0.007876175027707294
70,2020-10-09,0.004165882722236625
71,2020-10-12,0.009229478420656148
72,2020-10-13,-0.00840249316010239
73,2020-10-14,-0.004075514643318643
74,2020-10-15,0.0023942366744159997
75,2020-10-16,0.003101645865324803
76,2020-10-19,-0.013503898040496993
77,2020-10-20,0.00662238685720803
78,2020-10-21,-0.0004727364650633022
79,2020-10-22,0.0078630656044035
80,2020-10-23,-0.0031086511557434156
81,2020-10-26,-0.022579099699211857
82,2020-10-27,-0.010926261052271036
83,2020-10-28,-0.03123855574622409
84,2020-10-29,0.004747441435862387
85,2020-10-30,-0.00522361368933038
86,2020-11-02,0.01703056053535337
87,2020-11-03,0.01962586489201281
88,2020-11-04,0.004513557261841758
89,2020-11-05,0.02089332099960422
90,2020-11-06,-0.0019979659206947153
91,2020-11-09,0.03359466401702584
92,2020-11-10,0.011499389191474913
93,2020-11-11,-0.0010913996260956496
94,2020-11-12,-0.011554122031744319
95,2020-11-13,0.01736234815741469
96,2020-11-16,0.017638709458467364
97,2020-11-17,-0.007130948357699684
98,2020-11-18,-0.012567482103679216
99,2020-11-19,0.0020597815883786645
100,2020-11-20,-0.004739253941093463
101,2020-11-23,0.010322657606123475
102,2020-11-24,0.015905815508069118
103,2020-11-25,-0.003154777679424737
104,2020-11-27,-0.0005072743122760086
105,2020-11-30,-0.009507052240313674
106,2020-12-01,0.008221852286612983
107,2020-12-02,0.005770880353143349
108,2020-12-03,0.006754766040844432
109,2020-12-04,0.0076702067214080355
110,2020-12-07,-0.005651984809181719
111,2020-12-08,0.004123385496092839
112,2020-12-09,-0.0028195534782048913
113,2020-12-10,-0.0016521081631316753
114,2020-12-11,0.0011610925281140387
115,2020-12-14,-0.007022067928040934
116,2020-12-15,0.01218060140265636
117,2020-12-16,-0.0019208641890897475
118,2020-12-17,0.004153558272229163
119,2020-12-18,-0.005069523692022044
120,2020-12-21,0.0020765775706069844
121,2020-12-22,-0.006431519199720425
122,2020-12-23,0.0033969059664724017
123,2020-12-24,0.0019239997248288142
124,2020-12-28,0.005992082918533189
125,2020-12-29,-0.002336851427669299
126,2020-12-30,0.0006419523691104563
127,2020-12-31,0.006266234309483782
128,2021-01-04,-0.013204009857848779
129,2021-01-05,0.005403028995306425
130,2021-01-06,0.013232141131616576
131,2021-01-07,0.007853411384836253
132,2021-01-08,0.0009105705680829161
133,2021-01-11,-0.0014007484294609718
134,2021-01-12,0.002669562641729356
135,2021-01-13,0.0016830248638112695
136,2021-01-14,-0.00039889941526459314
137,2021-01-15,-0.005498128935910467
138,2021-01-19,0.004534781510456268
139,2021-01-20,0.00932476334098266
140,2021-01-21,0.0007114464513363289
141,2021-01-22,-0.007583010063054728
142,2021-01-25,6.969569179402236e-06
143,2021-01-26,-2.4419521452248458e-05
144,2021-01-27,-0.014414434854392557
145,2021-01-28,0.009243450255245316
146,2021-01-29,-0.0202988024365715
147,2021-02-01,0.007274791177302003
148,2021-02-02,0.013054298159386359
